
Intensity Mean
 ==================== 
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,
11000,30.097,104.837,11.628,58.532,24.392,15.411,102.656,63.898,22.624,104.893,80.661,44.142,52.702,96.950,80.487,34.416,81.012,18.231,16.991,69.812,65.374,37.432,34.965,16.597,72.067,50.252,54.547,12.388,35.461,55.811,20.805,68.151,29.146,92.225,14.854,28.678,10.518,15.107,23.377,61.464,41.200,63.638,95.991,15.497,42.039,18.979,61.194,17.587,14.909,21.840,102.794,71.197,13.470,88.917,40.053,28.539,100.539,18.187,18.947,34.872,63.980,52.314,53.796,53.580,69.039,29.443,27.008,49.440,
12000,36.518,109.751,9.994,64.167,25.275,14.689,102.818,55.290,21.879,102.750,85.346,45.098,52.176,103.186,82.074,33.517,77.939,21.688,17.858,69.048,66.046,32.593,36.258,15.124,71.791,47.722,53.619,9.391,21.613,52.304,20.417,64.199,27.949,86.603,13.497,28.006,10.207,12.003,22.666,60.565,40.763,76.077,94.873,16.759,39.143,16.482,70.654,17.626,17.086,22.466,103.707,69.728,12.921,102.736,44.130,27.442,104.209,16.102,18.311,32.205,70.264,52.914,56.512,55.436,112.405,30.696,15.450,17.365,
13000,37.670,83.155,10.963,61.848,20.080,15.724,101.556,57.922,23.381,103.308,91.202,44.465,51.107,106.173,81.063,34.602,73.412,22.236,22.657,69.415,62.934,38.675,24.796,17.405,75.579,51.706,50.018,8.768,20.364,54.435,19.828,53.578,31.247,94.434,11.965,31.240,10.833,12.652,23.025,53.106,41.015,85.588,102.894,15.581,45.824,28.332,64.864,17.387,14.882,21.704,116.109,71.626,15.703,95.358,35.909,32.181,91.446,17.973,21.016,31.560,73.013,57.757,60.978,62.345,95.219,34.645,13.355,18.853,
15000,33.024,91.138,11.171,69.199,24.831,16.106,98.928,54.798,33.136,104.973,83.982,43.856,50.159,108.787,79.492,34.041,77.618,22.788,21.618,70.169,66.748,35.280,25.255,16.028,72.393,51.219,54.951,12.310,24.359,49.931,19.659,60.482,30.774,99.320,14.049,35.913,10.351,16.023,22.837,54.064,40.675,63.241,98.562,17.382,52.158,25.101,71.056,17.191,12.915,22.602,98.364,77.705,13.376,90.935,38.360,30.105,93.338,19.764,20.554,33.072,77.275,58.280,59.724,61.383,102.747,34.957,16.112,26.251,
16000,29.051,79.135,11.959,65.087,25.378,15.513,100.865,57.374,20.421,102.016,90.220,40.947,51.106,106.666,84.154,31.545,79.047,21.622,23.581,75.745,65.682,41.190,22.671,15.889,71.070,47.546,56.677,10.041,20.930,51.792,19.014,50.980,27.519,93.496,13.365,29.329,9.874,16.350,22.532,54.883,39.568,71.655,97.818,19.675,41.646,22.195,63.754,15.724,15.499,19.782,98.382,73.715,14.217,106.975,42.718,31.239,93.999,19.348,20.238,32.373,84.968,58.481,44.927,61.688,36.286,41.579,17.112,41.987,
17000,26.059,98.747,12.849,59.120,18.497,16.309,104.137,55.409,20.792,101.181,87.113,40.446,50.946,106.181,80.765,29.838,85.200,20.800,21.549,73.271,63.705,34.186,22.862,15.351,71.238,45.655,53.489,11.585,19.744,58.517,18.783,53.120,31.317,84.542,14.386,24.705,10.397,12.757,34.106,56.769,39.486,73.152,98.740,15.320,46.679,22.775,68.077,16.266,13.886,21.084,99.324,81.206,15.872,94.194,42.151,28.712,91.569,17.934,20.980,32.557,77.639,58.301,60.235,63.600,100.607,34.669,18.203,53.862,
18000,28.999,103.319,8.691,67.351,23.286,14.913,95.948,56.496,20.718,101.452,92.685,39.734,51.864,106.231,82.175,30.823,68.513,19.892,22.990,69.647,64.284,37.742,22.730,13.775,72.355,46.362,56.536,12.887,21.144,62.972,19.800,61.322,26.836,102.051,15.278,24.840,9.806,14.451,37.942,53.122,39.051,81.320,97.606,13.073,42.739,21.454,61.586,16.311,13.787,20.745,102.812,69.942,16.111,110.646,36.851,28.703,91.000,18.402,20.322,36.239,68.359,49.127,57.409,56.411,20.638,37.566,15.936,55.876,
19000,29.052,94.237,11.289,61.289,23.209,14.890,102.210,71.822,21.003,106.303,127.039,39.740,50.332,108.516,83.779,32.447,79.823,18.818,19.713,66.839,66.395,47.235,21.532,12.861,70.203,46.176,57.417,11.352,32.885,58.672,19.264,52.992,31.528,98.815,12.973,23.413,9.802,16.714,28.430,59.201,44.760,78.111,103.404,19.968,38.987,22.764,57.704,15.198,15.031,19.409,97.487,77.607,30.861,95.596,41.938,27.920,97.123,19.219,20.242,36.976,78.061,51.069,60.110,59.042,83.874,48.030,40.003,49.755,
21000,36.195,79.801,11.597,69.415,25.504,15.241,99.728,75.345,21.575,104.384,78.958,40.719,51.616,110.153,84.728,32.441,79.849,20.623,24.923,67.551,66.540,43.407,21.196,12.752,77.216,46.418,55.042,11.559,43.137,63.600,18.603,56.360,29.749,105.430,14.894,23.683,10.816,15.719,22.237,57.953,39.473,76.339,103.516,17.040,37.254,23.948,70.626,16.313,15.199,23.132,82.889,75.270,18.910,89.858,44.825,29.601,92.120,18.091,20.532,30.183,64.344,49.698,60.437,58.681,84.147,38.183,16.184,29.577,
22000,25.503,89.769,10.917,65.733,25.089,13.970,100.376,65.746,20.854,104.018,84.612,40.893,51.954,106.940,74.324,29.906,79.913,21.155,23.687,67.374,64.367,40.853,22.026,14.759,69.826,44.745,55.042,10.038,33.437,60.262,19.282,53.624,28.817,90.515,14.166,22.877,10.978,15.898,21.324,57.123,39.995,80.680,95.619,15.871,36.787,22.439,64.416,15.676,11.716,19.550,98.885,74.163,13.420,90.740,40.659,26.966,90.254,20.655,18.626,34.355,76.511,53.667,57.838,59.374,68.851,31.176,17.870,53.277,
23000,28.525,104.034,12.035,62.870,21.657,15.421,103.154,59.569,20.191,102.367,94.836,42.558,52.298,108.891,77.801,29.774,80.717,21.553,29.351,68.942,63.924,48.676,22.916,14.875,72.312,46.754,54.591,28.036,18.594,60.206,20.223,56.966,30.078,94.435,13.836,23.233,9.813,15.790,25.348,50.464,41.759,70.535,98.503,18.137,36.215,20.016,71.177,14.198,13.010,21.725,105.102,70.437,14.320,99.991,42.498,27.068,86.387,19.467,20.736,31.512,77.684,57.943,44.871,57.821,36.180,37.598,16.609,40.760,
24000,29.805,106.607,11.380,67.704,25.365,14.302,101.381,65.795,21.237,104.700,93.233,43.425,51.417,107.521,67.882,29.797,82.355,20.690,25.848,72.168,66.076,45.533,22.803,13.649,73.254,48.547,56.502,12.612,15.534,60.415,19.961,53.502,35.621,92.375,13.455,24.170,10.034,16.424,25.976,52.753,39.635,58.587,98.562,15.552,36.754,20.259,69.013,17.851,11.759,21.825,101.812,73.101,15.605,102.832,43.710,29.311,82.415,19.740,20.028,30.563,77.261,56.219,32.316,45.136,47.687,19.307,16.318,36.863,
25000,26.567,93.077,11.463,61.651,23.782,15.048,109.410,58.972,20.861,106.139,122.735,42.497,54.180,109.616,75.977,29.385,82.575,22.206,27.088,73.403,65.309,50.249,21.408,13.447,71.402,46.201,58.779,10.489,29.796,52.800,19.848,50.694,41.998,101.286,14.032,26.412,10.454,15.269,24.879,49.285,37.987,77.794,96.563,19.385,35.196,19.276,62.332,17.971,14.175,21.652,94.509,69.623,12.527,92.250,37.224,29.490,87.215,20.708,19.154,30.023,82.339,60.852,31.748,52.531,33.964,19.087,15.872,41.255,
