Experiment ID:,3817,
Experimetn Name:,CCA1 OX EXP25 ,

sample,biol. desc.,Exp. Cond,,anal.,date,method,params,data type,data window,attention,period,period err,phase by fit,phase to DW,phase err,amplitude by fit,amplitude err,phase method specific,phase to DW,phase err,amplitude method specific,amplitude err,phase by averaged peaks,phase to DW,phase err,amplitude by averaged peaks,amplitude err,phase by first peak,phase to DW,phase err,amplitude by first peak,amplitude err,GOF,ERR,

105,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,26.88,0.568874,19.3,19.3,0.0,499.3,0.0,19.119999999999997,19.119999999999997,1.351,505.0,79.31,17.92,17.92,0.64,596.0,20.97,17.6,17.6,0.0,606.0,0.0,0.367099,0.15705,
105,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.12,0.0,19.02,19.02,0.0,497.1,0.0,17.2,17.2,0.0,595.0,0.0,17.25,17.25,0.083267,595.0,0.013,17.2,17.2,0.0,595.0,0.0,0.338062,0.338062,
105,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.62,1.04,19.43,19.43,0.0,466.1,0.0,19.3,19.3,0.0,451.9,0.0,17.11,17.11,2.061,633.0,59.13,16.1,16.1,0.0,611.0,0.0,0.307653,0.058457,

106,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,26.27,1.291,16.56,16.56,0.0,155.9,0.0,15.57,15.57,2.486,173.1,53.31,14.53,14.53,10.29,322.6,196.1,19.5,19.5,0.0,274.5,0.0,0.367774,0.307972,
106,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,35.0,0.0,31.98,31.98,0.0,211.6,0.0,33.9,33.9,0.0,258.5,0.0,33.9,33.9,1.0048591735576161E-14,258.5,8.038873388460929E-14,33.9,33.9,0.0,258.5,0.0,0.804703,0.804703,
106,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,X,35.58,3.69,31.67,31.67,0.0,201.2,0.0,31.86,31.86,0.0,188.2,0.0,35.4,35.4,0.565685,310.5,118.7,35.2,35.2,0.0,352.5,0.0,0.684105,0.121585,

107,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,30.1,0.838912,7.15,7.15,0.0,351.0,0.0,6.54,6.54,1.409,437.3,125.4,4.77,4.77,3.202,488.6,156.1,3.2,3.2,0.0,408.2,0.0,0.50563,0.28676,
107,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,34.0,0.0,33.96,33.96,0.0,374.5,0.0,33.0,33.0,0.0,495.5,0.0,33.0,33.0,0.0,495.5,4.823324033076557E-13,33.0,33.0,0.0,495.5,0.0,0.658869,0.658869,
107,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,31.06,1.89,5.07,5.07,0.0,378.8,0.0,4.9,4.9,0.0,379.6,0.0,3.74,3.74,0.417612,467.4,11.95,3.5,3.5,0.0,474.3,0.0,0.520843,0.071375,

108,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,IGNORED,37.83,3.449,33.5,33.5,0.0,301.6,0.0,33.489999999999995,33.489999999999995,11.75,301.6,126.2,33.48,33.48,0.042426,301.6,8.824576124456395E-4,33.5,33.5,0.0,301.6,0.0,0.852884,0.418435,
108,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,26.060000000000002,0.0,19.44,19.44,0.0,282.9,0.0,19.5,19.5,0.0,324.8,0.0,19.54,19.54,0.08,324.8,0.024352,19.5,19.5,0.0,324.8,0.0,0.829657,0.829657,
108,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.13,2.53,12.76,12.76,0.0,281.0,0.0,12.84,12.84,0.0,270.5,0.0,13.17,13.17,4.516,335.2,39.1,11.7,11.7,0.0,348.4,0.0,0.768485,0.101851,

109,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.27,0.477852,22.69,22.69,0.0,443.5,0.0,22.82,22.82,0.825785,438.7,86.19,23.75,23.75,7.041,540.0,250.6,23.7,23.7,0.0,684.0,0.0,0.324798,0.196467,
109,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,26.259999999999998,0.0,23.45,23.45,0.0,447.0,0.0,22.7,22.7,0.0,512.0,0.0,22.71,22.71,0.061101,512.0,0.044222,22.7,22.7,0.0,512.0,0.0,0.628889,0.628889,
109,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.31,1.04,23.59,23.59,0.0,401.9,0.0,23.75,23.75,0.0,388.8,0.0,23.16,23.16,1.909,398.9,22.0,23.9,23.9,0.0,409.5,0.0,0.596546,0.049052,

110,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.94,0.644039,20.13,20.13,0.0,302.7,0.0,20.150000000000002,20.150000000000002,1.351,303.1,65.5,20.33,20.33,1.506,318.3,139.8,20.7,20.7,0.0,379.1,0.0,0.504898,0.2161,
110,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.52,0.0,20.35,20.35,0.0,303.6,0.0,20.6,20.6,0.0,306.0,0.0,20.65,20.65,0.083267,306.0,0.008451,20.6,20.6,0.0,306.0,0.0,0.605948,0.605948,
110,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.48,1.09,20.75,20.75,0.0,272.2,0.0,20.76,20.76,0.0,265.5,0.0,20.15,20.15,3.396,286.1,65.58,18.7,18.7,0.0,248.5,0.0,0.546222,0.048328,

111,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,25.97,1.058,17.21,17.21,0.0,100.8,0.0,17.18,17.18,1.827,102.6,28.54,15.6,15.6,5.083,132.9,34.18,14.2,14.2,0.0,137.2,0.0,0.47994,0.278168,
111,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.16,0.0,16.18,16.18,0.0,103.9,0.0,15.1,15.1,0.0,108.4,0.0,15.11,15.11,0.061101,108.4,0.004,15.1,15.1,0.0,108.4,0.0,0.718657,0.718657,
111,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,25.61,1.28,17.26,17.26,0.0,94.95,0.0,17.16,17.16,0.0,98.1,0.0,17.22,17.22,2.328,103.2,3.153,16.2,16.2,0.0,103.8,0.0,0.664653,0.056588,

112,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,IGNORED,35.52,1.012,29.83,29.83,0.0,177.5,0.0,29.710000000000004,29.710000000000004,1.339,166.8,42.1,29.69,29.69,0.876812,173.4,37.92,30.0,30.0,0.0,186.8,0.0,0.541763,0.252398,
112,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,35.0,0.0,30.14,30.14,0.0,174.2,0.0,30.4,30.4,0.0,185.0,0.0,30.4,30.4,1.0048591735576161E-14,185.0,5.650944537827403E-7,30.4,30.4,0.0,185.0,0.0,0.571133,0.571133,
112,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,34.54,1.77,30.55,30.55,0.0,161.2,0.0,30.53,30.53,0.0,151.3,0.0,30.33,30.33,5.289,194.2,49.8,32.2,32.2,0.0,211.8,0.0,0.464666,0.075352,

113,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,25.41,0.575761,23.91,23.91,0.0,208.1,0.0,23.9,23.9,1.303,208.1,39.77,23.89,23.89,0.02,208.1,0.002045,23.9,23.9,0.0,208.1,0.0,0.527383,0.19111,
113,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,25.18,0.0,24.08,24.08,0.0,207.1,0.0,23.8,23.8,0.0,217.2,0.0,23.82,23.82,0.04,217.2,0.016008,23.8,23.8,0.0,217.2,0.0,0.47962,0.47962,
113,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,25.12,0.61,23.91,23.91,0.0,200.2,0.0,23.98,23.98,0.0,194.2,0.0,24.42,24.42,1.232,213.8,28.84,23.9,23.9,0.0,230.2,0.0,0.478156,0.038068,

114,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,25.52,0.836232,20.38,20.38,0.0,167.9,0.0,20.13,20.13,1.415,158.8,52.92,21.72,21.72,6.589,217.0,173.5,20.2,20.2,0.0,263.0,0.0,0.482761,0.333249,
114,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,26.32,0.0,19.93,19.93,0.0,172.0,0.0,19.7,19.7,0.0,183.9,0.0,19.75,19.75,0.083267,183.9,0.004063,19.7,19.7,0.0,183.9,0.0,0.676283,0.676283,
114,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,25.57,1.28,20.59,20.59,0.0,158.6,0.0,20.44,20.44,0.0,154.1,0.0,20.1,20.1,2.961,196.9,104.7,18.6,18.6,0.0,235.8,0.0,0.619605,0.063028,

115,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.29,0.650243,20.64,20.64,0.0,249.2,0.0,20.78,20.78,1.239,265.6,43.87,21.51,21.51,3.968,357.7,90.55,22.6,22.6,0.0,391.5,0.0,0.224517,0.165173,
115,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.62,0.0,21.82,21.82,0.0,258.0,0.0,23.2,23.2,0.0,336.5,0.0,23.18,23.18,0.04,336.5,0.005381,23.2,23.2,0.0,336.5,0.0,0.671685,0.671685,
115,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.01,1.22,21.25,21.25,0.0,210.8,0.0,21.12,21.12,0.0,213.3,0.0,22.16,22.16,2.402,269.1,43.74,22.7,22.7,0.0,281.8,0.0,0.645123,0.061889,

116,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,18.61,0.555672,3.51,3.51,0.0,94.83,0.0,3.8,3.8,1.765,116.9,51.15,1.86,1.86,4.174,173.0,147.8,2.4,2.4,0.0,57.58,0.0,0.475284,0.437553,
116,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,35.0,0.0,22.56,22.56,0.0,124.0,0.0,23.3,23.3,0.0,168.6,0.0,23.3,23.3,5.0242958677880805E-15,168.6,0.0,23.3,23.3,0.0,168.6,0.0,0.743514,0.743514,
116,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,32.26,2.6,23.5,23.5,0.0,111.9,0.0,23.5,23.5,0.0,111.6,0.0,23.12,23.12,0.339411,127.1,8.154,23.0,23.0,0.0,124.2,0.0,0.821597,0.094537,

117,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,33.5,1.058,27.57,27.57,0.0,302.6,0.0,27.28,27.28,1.228,300.0,67.71,29.1,29.1,1.697,342.8,38.35,29.7,29.7,0.0,329.2,0.0,0.428068,0.2257,
117,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,32.82,0.0,27.78,27.78,0.0,299.1,0.0,30.1,30.1,0.0,324.7,0.0,30.09,30.09,0.028284,324.7,0.014308,30.1,30.1,0.0,324.7,0.0,0.473998,0.473998,
117,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,33.6,1.66,27.72,27.72,0.0,294.1,0.0,27.53,27.53,0.0,290.9,0.0,31.3,31.3,8.485,346.4,58.44,0.7,0.7,0.0,325.7,0.0,0.443512,0.062062,

118,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,26.75,0.54077,22.72,22.72,0.0,400.6,0.0,22.73,22.73,0.959967,400.6,57.59,22.68,22.68,0.057735,400.6,0.079749,22.7,22.7,0.0,400.6,0.0,0.423416,0.143759,
118,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,26.58,0.0,22.87,22.87,0.0,400.7,0.0,23.1,23.1,0.0,486.9,0.0,23.09,23.09,0.083267,486.9,0.10956,23.1,23.1,0.0,486.9,0.0,0.237343,0.237343,
118,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.47,1.04,23.01,23.01,0.0,377.6,0.0,23.13,23.13,0.0,363.1,0.0,23.13,23.13,1.173,472.8,85.36,22.5,22.5,0.0,427.6,0.0,0.248136,0.049577,

119,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.19,0.628776,24.23,24.23,0.0,374.4,0.0,24.41,24.41,1.305,380.5,72.63,25.37,25.37,3.255,409.6,78.45,24.8,24.8,0.0,454.4,0.0,0.370905,0.19088,
119,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.36,0.0,24.12,24.12,0.0,374.3,0.0,24.1,24.1,0.0,392.5,0.0,24.07,24.07,0.061101,392.5,0.014164,24.1,24.1,0.0,392.5,0.0,0.531122,0.531122,
119,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.78,1.04,24.88,24.88,0.0,350.7,0.0,25.04,25.04,0.0,350.5,0.0,25.75,25.75,2.121,393.7,22.92,24.7,24.7,0.0,403.9,0.0,0.441499,0.047785,

120,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,FAILED Could not establish confidence intervals due to failed convergence,
120,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,15.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
120,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,FAILED Could not find peak in any of bootstrap spectra,

121,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.17,0.54045,22.73,22.73,0.0,471.4,0.0,22.73,22.73,0.859933,472.6,82.02,22.86,22.86,1.623,498.3,111.9,23.1,23.1,0.0,506.0,0.0,0.411965,0.173551,
121,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.96,0.0,22.87,22.87,0.0,472.7,0.0,23.0,23.0,0.0,488.3,0.0,23.01,23.01,0.061101,488.3,0.016732,23.0,23.0,0.0,488.3,0.0,0.367957,0.367957,
121,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.89,1.15,23.2,23.2,0.0,437.2,0.0,23.2,23.2,0.0,433.4,0.0,22.68,22.68,1.541,478.6,114.4,22.5,22.5,0.0,424.5,0.0,0.456683,0.053141,

122,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.22,1.271,22.34,22.34,0.0,307.1,0.0,22.009999999999998,22.009999999999998,2.176,295.4,92.81,21.98,21.98,4.713,318.7,123.1,22.3,22.3,0.0,377.6,0.0,0.599407,0.314184,
122,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.759999999999998,0.0,22.03,22.03,0.0,305.4,0.0,22.0,22.0,0.0,397.8,0.0,22.01,22.01,0.061101,397.7,0.049896,22.0,22.0,0.0,397.8,0.0,0.514009,0.514009,
122,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.16,1.15,22.71,22.71,0.0,281.1,0.0,22.67,22.67,0.0,279.3,0.0,22.47,22.47,2.283,383.9,102.4,21.3,21.3,0.0,336.0,0.0,0.530643,0.064156,

123,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,25.46,0.554272,21.26,21.26,0.0,143.1,0.0,21.27,21.27,1.002,148.3,31.83,20.67,20.67,0.641665,195.4,50.75,20.7,20.7,0.0,179.0,0.0,0.304952,0.214633,
123,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,25.18,0.0,21.61,21.61,0.0,142.9,0.0,21.1,21.1,0.0,167.8,0.0,21.12,21.12,0.04,167.8,0.02084,21.1,21.1,0.0,167.8,0.0,0.488558,0.488558,
123,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,25.41,1.28,21.27,21.27,0.0,141.1,0.0,21.17,21.17,0.0,136.3,0.0,20.72,20.72,0.598108,169.0,22.14,20.4,20.4,0.0,160.7,0.0,0.475121,0.060581,

124,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.48,1.23,17.27,17.27,0.0,441.8,0.0,17.310000000000002,17.310000000000002,3.002,449.0,127.3,17.42,17.42,4.713,493.3,113.3,19.6,19.6,0.0,427.9,0.0,0.580036,0.283519,
124,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.240000000000002,0.0,17.64,17.64,0.0,443.2,0.0,18.0,18.0,0.0,528.0,0.0,17.96,17.96,0.08,528.0,0.088402,18.0,18.0,0.0,528.0,0.0,0.590471,0.590471,
124,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.6,1.09,16.73,16.73,0.0,420.4,0.0,16.67,16.67,0.0,417.4,0.0,16.77,16.77,0.92376,440.3,8.564,17.3,17.3,0.0,443.5,0.0,0.63169,0.054818,

125,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.18,1.008,18.68,18.68,0.0,233.8,0.0,18.67,18.67,2.392,233.8,50.67,18.65,18.65,0.083267,233.8,0.008775,18.7,18.7,0.0,233.8,0.0,0.588704,0.216724,
125,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,26.84,0.0,19.14,19.14,0.0,233.8,0.0,19.9,19.9,0.0,277.4,0.0,19.86,19.86,0.08,277.4,0.031118,19.9,19.9,0.0,277.4,0.0,0.479255,0.479255,
125,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.51,1.09,17.9,17.9,0.0,214.0,0.0,17.83,17.83,0.0,211.0,0.0,18.36,18.36,0.791033,274.7,45.8,17.9,17.9,0.0,290.6,0.0,0.499753,0.054538,

126,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.8,2.195,15.6,15.6,0.0,540.0,0.0,15.25,15.25,4.252,536.0,236.4,16.0,16.0,7.074,747.0,157.8,19.9,19.9,0.0,477.4,0.0,0.665106,0.441045,
126,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.4,0.0,14.77,14.77,0.0,540.0,0.0,14.2,14.2,0.0,566.0,0.0,14.2,14.2,4.1023203976182695E-15,566.0,0.008849,14.2,14.2,0.0,566.0,0.0,0.820223,0.820223,
126,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.51,0.75,15.18,15.18,0.0,488.5,0.0,15.13,15.13,0.0,490.3,0.0,14.76,14.76,0.910897,491.6,1.847,15.2,15.2,0.0,490.6,0.0,0.757816,0.040446,

127,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.67,0.934492,14.51,14.51,0.0,376.0,0.0,14.62,14.62,1.813,404.7,120.5,15.93,15.93,5.016,545.0,8.75,18.8,18.8,0.0,389.9,0.0,0.465914,0.297751,
127,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.12,0.0,16.8,16.8,0.0,364.5,0.0,16.9,16.9,0.0,496.2,0.0,16.88,16.88,0.04,496.1,0.072004,16.9,16.9,0.0,496.2,0.0,0.645541,0.645541,
127,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.31,1.78,13.15,13.15,0.0,343.5,0.0,13.36,13.36,0.0,338.0,0.0,14.09,14.09,1.928,472.2,35.46,15.0,15.0,0.0,457.8,0.0,0.573628,0.069596,

128,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.86,1.118,11.97,11.97,0.0,320.2,0.0,12.16,12.16,2.394,333.9,97.83,11.71,11.71,6.141,373.6,96.1,8.6,8.6,0.0,329.0,0.0,0.489942,0.292992,
128,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.439999999999998,0.0,12.52,12.52,0.0,320.8,0.0,12.5,12.5,0.0,316.0,0.0,12.53,12.53,0.061101,316.0,0.012053,12.5,12.5,0.0,316.0,0.0,0.773699,0.773699,
128,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.11,1.78,11.0,11.0,0.0,312.2,0.0,11.06,11.06,0.0,297.4,0.0,10.99,10.99,5.437,409.5,68.81,8.5,8.5,0.0,425.2,0.0,0.580669,0.064877,

129,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,FAILED Could not establish confidence intervals due to failed convergence,
129,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,15.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
129,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,FAILED Could not find peak in any of bootstrap spectra,

130,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,25.49,0.73557,21.17,21.17,0.0,688.0,0.0,20.56,20.56,1.509,708.0,200.6,20.84,20.84,1.975,763.0,278.8,21.3,21.3,0.0,620.0,0.0,0.489786,0.283333,
130,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,26.66,0.0,19.93,19.93,0.0,739.0,0.0,20.0,20.0,0.0,807.0,0.0,20.01,20.01,0.061101,807.0,0.061727,20.0,20.0,0.0,807.0,0.0,0.79937,0.79937,
130,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.69,1.04,19.66,19.66,0.0,610.0,0.0,19.54,19.54,0.0,590.0,0.0,19.44,19.44,1.853,668.0,70.06,20.2,20.2,0.0,641.0,0.0,0.64565,0.054292,

131,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.29,1.152,11.78,11.78,0.0,402.0,0.0,11.75,11.75,2.25,425.6,115.3,11.81,11.81,6.227,513.0,40.71,15.1,15.1,0.0,500.0,0.0,0.551823,0.270912,
131,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.439999999999998,0.0,11.58,11.58,0.0,402.7,0.0,10.9,10.9,0.0,421.7,0.0,10.86,10.86,0.08,422.0,0.492309,10.9,10.9,0.0,421.7,0.0,0.627327,0.627327,
131,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.95,1.15,10.58,10.58,0.0,405.9,0.0,10.57,10.57,0.0,402.4,0.0,7.38,7.38,4.106,540.0,107.3,5.4,5.4,0.0,480.6,0.0,0.468819,0.055569,

132,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.31,1.259,15.55,15.55,0.0,649.0,0.0,15.249999999999998,15.249999999999998,2.501,643.0,153.8,14.92,14.92,0.630661,710.0,58.52,15.2,15.2,0.0,705.0,0.0,0.430641,0.239191,
132,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.3,0.0,15.56,15.56,0.0,649.0,0.0,14.5,14.5,0.0,723.0,0.0,14.5,14.5,7.105427357601002E-15,723.0,0.033978,14.5,14.5,0.0,723.0,0.0,0.469446,0.469446,
132,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.52,1.09,14.93,14.93,0.0,619.0,0.0,14.89,14.89,0.0,622.0,0.0,14.21,14.21,0.941771,703.0,27.15,14.7,14.7,0.0,704.0,0.0,0.461285,0.057162,

133,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.81,0.823711,14.64,14.64,0.0,397.9,0.0,14.07,14.07,1.624,379.0,136.4,13.32,13.32,0.325167,467.1,51.0,13.5,13.5,0.0,496.0,0.0,0.585457,0.359894,
