Intensity Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,1000000068,1000000069,1000000070,1000000071,1000000072,1000000073,1000000074,1000000075,1000000076,1000000077,1000000078,1000000079,1000000080,1000000081,1000000082,1000000083,1000000084,1000000085,1000000086,1000000087,1000000088,1000000089,1000000090,1000000091,1000000092,1000000093,1000000094,1000000095,1000000096,1000000097,1000000098,1000000099,1000000100,1000000101,1000000102,1000000103,1000000104,1000000105,1000000106,1000000107,1000000108,1000000109,1000000110,1000000111,1000000112,1000000113,1000000114,1000000115,1000000116,1000000117
29000,202.861,198.575,201.659,188.866,334.887,197.011,343.042,202.069,203.234,217.609,192.398,168.632,266.224,307.275,186.045,316.554,188.978,182.432,335.000,264.773,273.518,306.657,352.914,252.451,288.753,234.237,206.019,269.112,467.023,176.944,319.308,185.151,337.013,230.645,259.948,170.746,333.270,304.797,181.216,335.896,335.920,162.500,204.201,249.275,316.638,202.662,309.247,206.818,317.328,191.491,153.201,208.066,161.683,321.574,234.463,225.262,167.387,191.746,173.256,247.475,153.782,189.648,233.036,334.027,195.538,209.043,264.929,210.489,217.912,195.275,287.770,162.699,154.739,191.671,366.994,204.107,183.654,182.129,200.140,173.671,172.834,191.908,177.068,214.006,171.346,243.495,276.451,160.087,209.361,214.903,135.582,151.065,195.837,266.207,221.062,210.109,158.434,202.032,234.736,202.407,296.092,284.994,156.228,147.277,236.554,322.111,241.777,210.913,221.385,174.415,172.475,173.378,188.614,287.961,330.526,160.437,147.701,381.022
32000,210.799,206.689,211.065,196.271,303.705,204.259,336.782,208.462,208.872,215.044,183.769,170.519,252.776,306.339,188.054,316.081,187.136,171.324,321.273,242.823,256.721,305.710,403.810,262.349,283.056,241.477,191.407,244.270,429.516,169.679,313.050,182.390,388.579,229.498,265.119,163.467,338.740,283.216,192.303,340.451,318.027,165.807,209.636,252.856,323.082,204.350,291.222,222.951,307.392,195.273,146.173,214.661,169.037,328.335,243.248,211.092,162.868,183.827,171.321,240.236,155.355,175.132,233.414,350.553,188.346,213.997,247.881,212.819,283.915,192.968,289.398,161.299,155.602,184.969,389.878,206.873,199.865,173.192,192.628,168.487,165.971,188.522,175.031,205.815,169.160,251.513,287.118,167.954,205.507,206.922,143.748,163.730,214.067,308.352,200.842,220.429,159.565,192.241,225.770,208.922,301.326,291.046,153.576,154.053,228.071,281.488,241.207,215.043,219.237,171.974,179.914,176.670,173.322,252.646,285.918,165.272,154.897,375.295
35000,194.717,205.177,215.558,201.392,272.783,198.654,329.478,205.203,199.269,219.180,180.231,162.887,268.451,326.091,187.360,324.728,193.401,174.268,325.472,247.996,275.378,301.065,313.553,271.151,257.260,229.809,212.581,256.795,485.141,180.082,327.174,179.787,363.446,220.759,264.059,165.170,367.227,288.935,181.403,310.470,321.282,160.038,196.506,251.150,314.090,192.542,290.610,207.049,322.238,203.427,146.494,214.120,162.413,333.428,242.826,228.268,160.563,183.532,173.259,231.716,155.155,172.556,234.150,320.939,189.676,203.693,259.582,223.449,232.520,197.720,260.927,168.053,157.800,177.356,393.746,210.743,193.296,178.777,184.534,176.587,183.247,183.228,175.083,211.161,173.008,248.074,291.154,168.854,190.979,180.930,136.014,144.407,206.575,301.741,212.567,218.117,156.643,195.150,218.247,210.393,275.337,278.117,151.914,153.619,232.698,321.200,252.931,212.827,237.273,172.889,185.871,178.100,258.818,250.645,284.366,158.238,155.903,330.851
38000,212.637,192.814,212.317,194.815,258.852,187.541,316.629,197.441,209.144,208.566,177.404,170.179,263.497,318.587,199.138,298.154,206.875,171.509,325.401,237.209,273.238,323.894,357.256,255.179,272.553,246.827,191.823,247.284,364.777,179.635,314.547,187.643,366.076,211.890,262.093,172.226,377.973,283.437,190.496,317.233,330.884,166.604,215.605,262.883,329.695,204.947,295.738,210.207,297.156,197.997,146.083,211.591,164.899,340.614,233.554,231.591,162.687,177.828,190.429,211.024,153.438,188.942,245.704,321.239,197.406,205.901,266.437,237.501,248.607,196.994,280.619,169.198,159.518,178.355,411.209,218.893,195.468,169.798,197.048,179.306,197.700,187.862,180.123,209.861,176.216,247.090,315.909,181.804,219.192,206.540,144.919,135.904,200.647,277.611,232.191,227.711,154.408,211.092,238.487,198.654,272.697,267.941,159.335,152.805,225.923,310.189,247.084,217.188,208.178,173.016,181.822,173.034,186.685,268.253,285.066,167.149,156.396,380.136
42000,205.185,203.044,214.095,201.766,223.731,195.394,348.394,219.832,222.324,232.627,193.699,165.189,274.672,315.785,198.934,310.035,198.085,154.898,325.566,249.938,287.312,348.963,322.599,268.338,274.529,229.716,194.266,246.765,452.430,179.050,301.130,179.713,397.702,217.389,272.973,171.221,366.662,287.147,182.793,339.586,334.136,162.812,239.716,274.762,317.895,206.756,319.720,206.997,307.983,212.635,145.953,228.435,168.992,334.293,245.379,223.414,163.752,188.939,192.655,229.338,158.381,193.819,230.864,315.710,195.506,203.034,261.107,226.234,253.026,200.304,268.966,186.386,160.086,188.898,375.276,228.303,188.032,183.773,200.012,171.592,186.249,183.159,177.328,207.827,171.613,264.734,347.362,175.885,209.597,201.647,145.447,145.141,203.652,288.293,220.366,216.671,157.239,241.533,233.700,196.873,281.164,283.709,158.194,152.750,244.950,286.715,247.848,228.371,231.712,174.408,184.682,183.732,183.257,268.156,292.900,167.643,155.231,452.556
45000,222.249,207.480,212.457,199.961,228.456,200.678,346.490,214.783,209.324,231.774,189.598,163.386,278.003,326.867,190.199,331.712,213.307,168.399,323.262,259.659,287.587,287.017,309.140,267.731,278.835,228.490,190.468,266.317,457.836,182.408,313.481,201.332,309.374,225.250,280.450,174.349,368.884,274.194,187.354,316.459,342.350,162.014,314.978,259.907,329.258,209.002,333.940,215.353,283.834,222.454,146.548,231.030,180.650,329.980,227.745,224.338,163.008,197.833,240.473,212.244,151.853,181.788,231.238,306.548,199.295,201.880,280.937,216.197,248.883,197.378,266.501,215.033,166.355,209.710,367.523,250.986,211.685,185.482,199.304,197.070,189.761,199.737,182.032,204.696,171.728,259.722,466.332,171.480,223.234,210.095,142.158,151.278,201.270,290.633,223.601,225.552,160.741,260.535,272.492,204.051,261.104,271.473,156.729,169.007,235.653,295.350,248.687,218.191,245.508,176.850,184.538,180.382,194.413,255.452,297.754,165.516,161.144,480.778
48000,228.916,220.825,253.522,209.721,264.998,201.203,395.293,232.214,203.894,263.937,207.264,160.905,350.878,328.156,203.081,305.751,218.581,173.658,317.166,251.789,328.882,324.944,364.833,249.321,264.357,268.022,195.627,238.769,430.905,211.428,323.551,208.308,367.497,230.751,268.642,169.515,338.212,285.854,225.312,286.996,327.862,164.256,514.652,255.820,315.811,227.465,535.247,211.379,276.192,285.975,155.791,215.631,205.420,341.421,236.122,256.807,173.960,210.226,260.464,208.281,159.136,197.795,232.622,295.127,196.219,196.139,365.658,233.201,263.233,210.892,302.814,225.041,164.125,257.121,377.391,324.230,206.795,230.316,197.899,210.315,216.229,191.394,188.862,212.329,178.273,265.559,719.457,173.293,229.767,213.531,145.326,160.897,227.554,345.189,217.173,222.775,160.749,375.566,371.382,201.186,270.572,293.123,156.941,150.023,237.767,402.313,233.297,294.403,325.523,193.806,176.458,189.797,241.598,339.830,276.466,185.781,153.093,540.874
51000,215.731,267.375,281.104,215.847,336.064,225.881,558.636,264.701,237.731,380.396,229.227,157.575,628.218,435.240,264.760,354.840,223.615,199.798,383.288,330.225,425.895,389.730,379.193,276.221,315.046,365.708,219.226,262.658,405.436,280.802,356.289,237.472,406.456,267.572,475.248,187.747,414.807,285.460,255.255,346.457,303.087,156.533,726.163,270.981,314.223,275.415,889.990,217.533,315.664,361.054,167.535,297.012,262.476,408.652,224.116,303.225,167.819,236.365,484.340,218.640,156.483,222.695,286.085,304.229,201.768,206.730,611.611,218.851,255.164,259.946,351.965,261.280,172.494,326.222,308.760,457.940,262.626,220.513,201.336,235.922,259.952,207.349,195.223,215.980,191.563,471.109,869.320,178.763,277.093,230.447,142.652,193.279,250.693,431.192,236.766,222.801,159.284,534.953,582.043,246.129,330.103,332.212,159.189,149.477,268.413,495.673,254.480,490.987,412.963,187.924,184.537,248.890,332.413,475.560,315.337,197.571,168.204,606.289
54000,291.733,294.764,342.791,287.687,392.759,301.216,760.100,412.711,286.416,611.330,262.816,150.796,805.138,640.911,323.683,436.452,266.589,268.543,555.571,480.294,538.355,493.003,543.241,368.065,412.617,495.876,327.637,271.661,461.180,409.508,429.695,298.385,521.273,332.512,658.348,199.790,634.005,322.622,355.500,434.931,324.850,166.566,766.898,302.304,322.208,364.176,1234.393,212.955,310.706,451.874,171.524,413.771,280.801,524.574,307.575,373.371,174.948,384.622,711.531,236.860,160.726,304.009,366.216,305.083,210.366,257.336,722.769,275.277,240.937,308.211,543.016,302.734,187.763,411.828,325.901,555.547,273.453,275.354,242.374,263.486,332.561,261.075,259.616,246.291,216.814,744.782,910.057,244.149,381.741,306.014,164.503,189.023,403.600,563.897,301.684,307.519,169.999,691.792,772.670,298.600,440.131,512.009,207.891,157.549,341.747,816.421,374.069,431.492,455.297,266.695,217.581,354.779,437.861,604.188,322.845,293.807,177.133,789.044
58000,432.040,340.355,433.902,353.909,466.388,351.693,1021.368,490.210,365.518,756.841,306.665,173.335,838.470,893.141,471.164,598.950,356.452,373.151,753.653,598.657,669.412,778.087,748.372,510.163,527.415,659.577,481.452,373.590,355.845,493.197,603.763,382.466,870.863,488.015,867.818,208.022,778.027,374.699,454.226,602.640,453.737,210.860,784.087,409.690,433.753,471.046,1378.874,288.711,385.415,482.375,197.823,454.968,280.032,609.670,445.073,490.723,202.334,438.610,754.815,273.577,159.772,384.899,530.798,353.895,269.886,335.610,731.226,380.042,248.891,362.540,733.375,307.616,188.158,451.614,364.893,503.932,333.989,266.672,278.349,260.580,430.923,307.344,278.571,350.920,222.762,842.132,752.455,321.153,542.910,333.768,169.382,192.695,537.081,746.063,563.602,432.086,168.389,998.418,1040.562,420.230,630.876,659.377,207.874,155.312,365.747,1252.395,555.787,491.295,581.198,343.420,253.604,471.900,535.397,743.194,385.435,332.877,175.144,1075.801
