
Intensity Mean
 ==================== 
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,1000000068,1000000069,1000000070,1000000071,1000000072,1000000073,1000000074,1000000075,1000000076,1000000077,1000000078,1000000079,1000000080,1000000081,1000000082,1000000083,
9000,273.706,330.322,202.913,568.503,374.792,212.802,278.035,472.791,381.490,409.569,173.375,281.372,230.257,435.877,184.357,377.263,273.990,294.391,369.968,218.596,444.575,226.902,377.222,352.602,443.602,500.005,232.440,273.629,398.035,200.514,222.120,225.720,170.584,402.131,244.043,222.805,385.176,426.833,237.383,415.456,214.338,294.502,194.541,254.892,222.496,197.449,149.579,404.284,209.077,491.329,228.597,196.857,242.424,243.294,631.962,456.635,398.204,424.084,395.784,303.608,230.304,228.889,315.494,203.091,215.388,206.699,622.446,308.247,194.822,201.049,191.187,186.909,200.987,180.326,180.015,188.009,233.188,191.711,209.802,413.932,173.280,187.919,194.039,207.260,
10000,271.126,346.204,202.096,588.561,374.912,200.298,279.401,432.881,358.543,406.964,181.994,270.360,229.718,450.071,190.058,382.079,289.890,296.290,383.569,232.968,459.445,222.702,390.581,361.986,429.376,445.734,230.144,267.010,394.837,206.771,215.161,216.599,173.693,393.913,241.710,222.456,410.644,399.972,232.050,407.854,221.144,287.371,209.317,254.151,218.527,207.164,160.787,356.774,224.252,479.262,221.761,200.461,243.533,239.601,556.282,438.794,437.305,441.878,388.343,289.924,231.461,211.505,306.127,201.089,221.354,217.903,593.734,316.803,192.204,221.054,196.629,186.703,200.852,184.934,172.973,197.946,217.362,199.478,220.237,429.831,171.001,199.659,203.761,215.646,
11000,270.086,347.562,178.607,533.333,388.146,195.687,279.453,400.595,333.416,415.083,165.539,265.493,238.896,433.533,187.761,341.003,264.833,268.664,371.738,214.450,467.313,215.509,413.805,366.784,450.688,463.292,235.454,274.263,441.223,195.555,216.653,203.297,161.629,379.401,227.422,227.232,366.712,400.452,239.852,395.094,216.558,294.874,191.091,248.353,209.089,196.307,148.299,340.537,223.537,497.991,220.578,201.013,239.842,238.891,584.071,420.480,422.395,423.124,370.601,302.004,211.575,217.257,328.228,190.109,196.219,218.046,622.798,302.696,189.478,209.456,196.541,190.053,220.561,172.603,174.939,189.489,227.853,189.477,206.725,374.680,165.561,194.878,186.323,212.932,
12000,283.468,347.888,185.708,519.808,374.962,203.118,274.471,436.114,410.163,392.018,183.516,281.961,231.281,415.444,181.600,361.211,260.966,298.396,365.482,224.946,421.327,213.746,393.074,376.918,423.082,430.650,212.668,279.547,439.526,198.193,223.460,205.080,173.643,423.828,230.857,222.161,386.976,377.112,231.272,392.232,216.042,294.046,192.877,256.518,207.532,206.120,152.679,327.523,211.853,471.020,228.027,207.708,235.865,243.467,535.935,414.496,433.246,448.598,372.626,302.771,221.902,221.411,313.223,193.889,201.954,227.217,580.838,289.017,189.645,271.949,187.326,183.444,219.500,181.071,173.498,187.407,210.995,194.210,215.688,416.157,168.762,205.113,189.269,205.416,
13000,260.973,369.274,189.614,491.471,361.638,205.736,286.803,435.459,409.790,425.114,170.138,255.191,222.893,446.600,177.558,377.072,266.341,296.586,361.555,227.588,442.985,220.701,396.039,323.476,436.759,440.607,232.133,274.169,392.652,204.883,223.178,226.113,181.546,397.008,227.790,225.835,396.624,392.869,227.060,397.453,219.441,349.091,198.684,250.426,208.848,202.614,154.032,336.890,217.587,459.951,222.230,207.541,227.754,278.080,540.553,427.411,431.138,458.423,382.445,315.353,217.536,229.647,320.788,189.497,203.242,221.842,583.806,308.489,183.398,196.711,196.602,190.649,222.393,181.254,178.424,191.943,208.882,197.239,215.492,391.973,181.228,188.555,192.248,221.071,
14000,261.300,346.589,183.392,496.724,365.497,193.540,278.599,409.894,370.817,388.573,175.994,281.772,244.081,433.119,185.382,346.116,260.938,285.977,353.856,227.949,457.800,223.574,390.389,343.129,432.501,456.265,208.048,282.999,384.075,198.078,224.867,211.196,176.406,397.818,220.493,220.345,369.856,393.396,232.631,392.682,207.543,343.053,199.752,247.242,184.568,200.043,152.447,331.496,214.508,456.440,212.064,200.306,244.330,294.981,536.608,428.486,394.158,438.673,363.610,297.263,209.339,216.862,337.846,195.217,208.223,221.993,562.506,297.350,189.135,189.996,194.538,189.027,223.098,183.644,176.080,191.949,205.143,195.053,208.798,388.641,175.407,192.663,191.769,196.450,
15000,280.935,326.989,188.191,498.143,363.690,195.774,275.154,400.446,438.739,396.944,170.987,256.619,228.958,441.548,183.680,374.135,276.943,289.611,376.027,260.799,476.918,222.384,397.762,328.826,431.208,395.889,241.079,335.819,429.480,193.941,221.205,220.342,176.870,360.915,231.392,221.384,363.144,383.425,231.390,418.442,210.749,346.409,188.176,240.972,215.529,199.109,155.351,329.925,211.753,458.916,218.497,201.440,236.216,269.560,543.871,421.461,417.063,429.389,371.437,314.048,214.361,227.385,319.727,200.631,195.307,210.956,601.626,297.583,192.473,218.890,195.078,184.664,219.573,174.935,173.472,196.656,204.290,195.064,225.605,404.836,174.698,201.187,200.533,210.756,
16000,270.363,354.058,184.180,598.856,377.375,193.830,279.770,478.814,681.087,392.416,172.514,292.371,313.466,432.532,180.930,357.789,285.122,365.213,357.075,405.867,445.237,216.481,381.330,331.971,424.592,374.248,250.128,468.099,437.737,216.505,279.044,250.740,187.017,387.211,227.911,214.989,396.564,403.266,231.133,419.751,208.688,356.058,185.419,313.399,220.018,192.714,165.611,321.739,214.474,469.410,241.023,196.137,233.559,295.032,500.479,406.015,421.334,418.403,370.440,306.748,209.538,219.583,304.321,221.058,204.723,210.059,575.684,281.270,181.155,204.183,186.397,200.759,201.977,187.202,178.603,195.902,199.427,185.714,209.411,398.303,176.549,179.572,196.087,203.242,
17000,270.957,260.835,189.037,514.832,367.632,203.249,274.453,381.536,1222.886,373.082,171.946,322.485,405.190,474.075,170.044,375.789,305.556,593.680,400.599,598.910,465.297,216.788,356.474,359.550,403.691,365.730,293.823,789.617,413.672,283.535,366.171,330.858,202.654,369.763,236.814,210.244,376.559,396.411,224.571,420.900,228.272,332.807,194.147,418.164,186.895,187.503,167.482,323.716,214.439,453.796,303.701,195.014,221.703,278.777,529.740,412.469,442.568,422.249,359.028,305.879,256.573,224.096,323.730,271.250,218.489,210.989,532.307,304.526,174.068,203.256,201.585,192.123,192.826,178.799,200.897,191.726,194.303,189.428,212.742,418.286,173.619,193.604,186.866,205.820,
18000,262.655,296.390,223.490,512.749,399.942,198.581,289.173,440.836,1483.277,373.344,201.795,427.614,565.573,455.061,177.037,371.771,432.311,733.555,376.941,699.314,488.529,261.992,387.712,358.811,390.034,362.958,419.227,1032.603,411.633,435.532,518.980,484.643,260.427,392.964,236.586,238.749,398.580,378.059,236.631,425.531,282.411,304.566,196.317,616.706,230.001,196.999,159.630,374.743,213.420,468.314,392.819,231.159,242.591,298.245,552.648,459.452,498.912,415.590,404.372,273.776,319.510,220.830,366.389,316.477,209.392,216.241,548.527,290.006,190.635,206.996,194.029,191.758,192.249,179.637,233.577,195.320,207.954,192.606,209.687,405.194,172.004,179.242,190.890,216.869,
